priority,site_name,slug,base_url
3.0,IITA:InternationalInstituteofTropicalAgriculture,iita_international_institute_of_tropical_agriculture,https://www.iita.org/publications/
3.0,SouthAfricanLawReformCommission,south_african_law_reform_commission,
3.0,ZoologicalNaturalHistoryMuseumAddisAbaba,zoological_natural_history_museum_addis_ababa,
3.0,NetworkofAfricanScienceAcademiesNASAC,network_of_african_science_academies_nasac,
3.0,NigerianGeologicalSurveyAgency,nigerian_geological_survey_agency,
3.0,NISCPtyLtd,nisc_pty_ltd,
3.0,JKUATPress,jkuat_press,
3.0,SouthAfricanReserveBankSARB,south_african_reserve_bank_sarb,https://www.resbank.co.za/en/home/publications
3.0,AfricanRegionalCentreforEcohydrologyARCE,african_regional_centre_for_ecohydrology_arce,
3.0,UJPress,uj_press,
3.0,AfricanCriticalInquiryProgrammeACIP,african_critical_inquiry_programme_acip,
3.0,VanSchaikPublishers,van_schaik_publishers,
3.0,PanSouthAfricanLanguageBoard,pan_south_african_language_board,
3.0,JutaandCompany,juta_and_company,
3.0,ArewaHouse:CentreforHistoricalDocumentationandResearch,arewa_house_centre_for_historical_documentation_and_research,
3.0,SouthAfricaLawReformCommission,south_africa_law_reform_commission,
3.0,GeologicalSurveyofEthiopia,geological_survey_of_ethiopia,
3.0,ForumforSocialStudies,forum_for_social_studies,
3.0,ConstitutionalCourtofSouthAfrica,constitutional_court_of_south_africa,
3.0,NigerianLawReformCommission,nigerian_law_reform_commission,
3.0,KenyaWaterInstituteKEWI,kenya_water_institute_kewi,
3.0,LawSocietyofSouthAfricaLEAD,law_society_of_south_africa_lead,
3.0,ModjajiBooks,modjaji_books,
3.0,SouthAfricanInstituteforAquaticBiodiversitySAIAB,south_african_institute_for_aquatic_biodiversity_saiab,
3.0,KenyaNationalArchivesandDocumentationService,kenya_national_archives_and_documentation_service,
3.0,EntomologicalSocietyofSouthernAfrica,entomological_society_of_southern_africa,
3.0,RegionalSomaliLanguageAcademy,regional_somali_language_academy,
3.0,KenyaPublishersAssociation,kenya_publishers_association,
3.0,SANBIPublishing,sanbi_publishing,
3.0,EconomicCommunityofWestAfricanStatesECOWAS,economic_community_of_west_african_states_ecowas,https://www.ecowas.int/resources/publications/
3.0,NationalBureauofStatisticsNigeria,national_bureau_of_statistics_nigeria,
3.0,NationalCouncilforScienceandTechnologyKenya,national_council_for_science_and_technology_kenya,
3.0,WorldAgroforestryICRAF,world_agroforestry_icraf,https://www.worldagroforestry.org/publications
3.0,KNBSKenya,knbs_kenya,
3.0,ZapfChancery,zapf_chancery,
3.0,AfricanAcademyofSciencesAAS,african_academy_of_sciences_aas,
3.0,EthiopianAcademyofSciencesPublications,ethiopian_academy_of_sciences_publications,
3.0,FourthDimensionPublishers,fourth_dimension_publishers,
