territory,platform,seller_id,title,author,condition,price,listing_url,timestamp,seller_comments
India,NearBook,,English question bank,,0,INR 200,https://nearbook.app/book/3922163,2026-05-03T22:34:13.265750,
India,NearBook,,biological science,,0,INR 90,https://nearbook.app/book/3922162,2026-05-03T22:34:13.573353,
India,NearBook,,Telugu LMR,,0,INR 90,https://nearbook.app/book/3922161,2026-05-03T22:34:13.860370,
India,NearBook,,science textbook for 9,samagra Shiksha Kendra Bhopal Madhya Pradesh,0,INR 85,https://nearbook.app/book/3922160,2026-05-03T22:34:14.150027,
India,NearBook,,science textbook for 9,samagra Shiksha Kendra Bhopal Madhya Pradesh,0,INR 85,https://nearbook.app/book/3922159,2026-05-03T22:34:14.440645,
India,NearBook,,SSc triumph series,,0,INR 90,https://nearbook.app/book/3922158,2026-05-03T22:34:14.728370,
India,NearBook,,social studies,,0,INR 180,https://nearbook.app/book/3922157,2026-05-03T22:34:15.109087,
India,NearBook,,English reader,,0,INR 90,https://nearbook.app/book/3922156,2026-05-03T22:34:15.415853,
India,NearBook,,social studies LMR,,0,INR 120,https://nearbook.app/book/3922155,2026-05-03T22:34:15.722777,
India,NearBook,,physical science question bank,,0,INR 160,https://nearbook.app/book/3922154,2026-05-03T22:34:17.304987,
India,NearBook,,ISC commerce as per 2027,Dr. C. B. gupta,0,INR 700,https://nearbook.app/book/3922153,2026-05-03T22:34:17.668361,
India,NearBook,,ISC commerce as per 2027,Dr. C. B. gupta,0,INR 700,https://nearbook.app/book/3922152,2026-05-03T22:34:17.955478,
India,NearBook,,biology reader,,0,INR 120,https://nearbook.app/book/3922150,2026-05-03T22:34:18.282809,
India,NearBook,,social reader,,0,INR 120,https://nearbook.app/book/3922149,2026-05-03T22:34:18.573512,
India,NearBook,,Hindi LMR,,0,INR 120,https://nearbook.app/book/3922148,2026-05-03T22:34:18.869403,
India,NearBook,,ISC 11th computer science Java with blue avichal publishing company,vijay kumar panday,0,INR 750,https://nearbook.app/book/3922147,2026-05-03T22:34:19.205414,
