territory,platform,seller_id,title,author,condition,price,listing_url,timestamp,seller_comments
India,Book Share,AKRPJP,Mathematics textbook for class 8,,For Donation,For Donation,https://bookshare.wiktait.com/book/74,2026-05-03T20:45:24.650702,
India,Book Share,AKRPJP,Our past 3 history textbook for class 8,,For Donation,For Donation,https://bookshare.wiktait.com/book/73,2026-05-03T20:45:24.650741,
India,Book Share,Sree,Utharkhandiloode kailas manasarasu yathra,M. K. Ramachandran,Free to Share,Free to Share,https://bookshare.wiktait.com/book/70,2026-05-03T20:45:24.650780,Tenth impression
India,Book Share,Sree,Munpeparakkunna pakshikal,C. Radhakrishnan,Free to Share,Free to Share,https://bookshare.wiktait.com/book/69,2026-05-03T20:45:24.650819,10
India,Book Share,Sree,Letters from a father to his daughter,"Jawaharlal Nehru, Translation by Ambadi Ikkavamma",Free to Share,Free to Share,https://bookshare.wiktait.com/book/67,2026-05-03T20:45:24.650858,18
India,Book Share,Sree,Kadalorath oru balan,"Nikolai Dubov, Translated by Omana",Free to Share,Free to Share,https://bookshare.wiktait.com/book/66,2026-05-03T20:45:24.650910,1
India,Book Share,Sree,Neelakappu,Arkady Gaidar,Free to Share,Free to Share,https://bookshare.wiktait.com/book/65,2026-05-03T20:45:24.650950,1
India,Book Share,Sree,Kuttikale ariyuka kuttikalilninnariyuka,Sister Mary Jane,Free to Share,Free to Share,https://bookshare.wiktait.com/book/64,2026-05-03T20:45:24.650995,1
India,Book Share,Sree,Marunnu,Punathil kunhabdulla,Free to Share,Free to Share,https://bookshare.wiktait.com/book/63,2026-05-03T20:45:24.651054,5
India,Book Share,Sree,Da Vinci Code,"Dan Brown. Translated by Jomy Thomas, R. Gopikrishnan",Free to Share,Free to Share,https://bookshare.wiktait.com/book/62,2026-05-03T20:45:24.651156,11
India,Book Share,Sree,Buddhiyum sraddhayum,K. Gopalakrishnan,Free to Share,Free to Share,https://bookshare.wiktait.com/book/61,2026-05-03T20:45:24.651213,4
India,Book Share,Sree,Anuyojya Vidyabhyasam,K. Basheer,Free to Share,Free to Share,https://bookshare.wiktait.com/book/60,2026-05-03T20:45:24.651251,2
India,Book Share,Sree,Ente Vazhithirivu,Ponkunnam Varkey,Free to Share,Free to Share,https://bookshare.wiktait.com/book/59,2026-05-03T20:45:24.651288,2
India,Book Share,AKRPJP,ATLAS SHRUGGED,AYN RAND,Free to Share,Free to Share,https://bookshare.wiktait.com/book/11,2026-05-03T20:45:24.651325,
India,Book Share,Sree,Padachonte Thirakkathakal,Sreenivasan,Free to Share,Free to Share,https://bookshare.wiktait.com/book/58,2026-05-03T20:45:24.651362,2
India,Book Share,Sree,Mulla nasrudheen kadhakal,Sidhique muhammed,Free to Share,Free to Share,https://bookshare.wiktait.com/book/57,2026-05-03T20:45:24.651399,1
India,Book Share,Sree,Keraleeyarude Devathasankalpam,M. G. Sasibhushan,Free to Share,Free to Share,https://bookshare.wiktait.com/book/56,2026-05-03T20:45:24.651436,3
India,Book Share,Sree,25 Rasathandra Prathibhakal,Gifu Melattoor,Free to Share,Free to Share,https://bookshare.wiktait.com/book/55,2026-05-03T20:45:24.651473,1
India,Book Share,Sree,Jyothisasthrathinu oru Amukham,Manoj M. Swami,Free to Share,Free to Share,https://bookshare.wiktait.com/book/54,2026-05-03T20:45:24.651510,
