source_record_id,record_name,organization_or_adscription,admin1_name,municipality_name,website,raw_libreria_ce,pass34_role_review_bucket,pass34_role_review_triggers,pass34_candidate_strict_bookstore_review,pass34_promotion_status,pass34_promotion_blockers,source_record_url
2407,Somos Voces,"Centro Mexicano de Libros, S.A. de C.V",Ciudad de México,Cuauhtémoc,https://www.somosvoces.com.mx/index.php,f,named_bookstore_candidate_review,positive_bookstore:libreria;positive_bookstore: de libro,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2407
2400,Librería El Sótano Sucursal Insurgentes,Librería El Sótano S.A. de C.V.,Ciudad de México,Cuauhtémoc,https://www.elsotano.com/,f,known_bookstore_chain_candidate_review,known_chain:sotano,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2400
468,Librería El Gran Remate,Particular,Ciudad de México,Cuauhtémoc,https://librerias-de-viejo.blogspot.com/2010/12/libreria-el-gran-remate.html,f,named_bookstore_candidate_review,positive_bookstore:libreria;positive_bookstore:librerias,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=468
2044,"Librería de Porrúa Hermanos y Compañía, sucursal Fórum Buenavista","Librería de Porrúa Hermanos y Compañía, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://porrua.mx/sucursales/,t,known_bookstore_chain_candidate_review,known_chain:porrua,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2044
1114,"Librería del Fondo de Cultura Económica(FCE)/Educal, sucursal pasaje metro Zócalo-Pino Suárez","Educal, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://www.fondodeculturaeconomica.com/LibreriasEstado/9,t,known_bookstore_chain_candidate_review,known_chain:fondo de cultura economica;known_chain:educal,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1114
752,Librería El Rincón Zapatista,El Rincón Zapatista Organización Política,Ciudad de México,Cuauhtémoc,,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=752
571,"Librería English Textbooks, Casa Matriz","English Textbooks, S.A. de C.V.",Ciudad de México,Cuauhtémoc,,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=571
371,Librería Globalbook México,"Globalbook, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://www.facebook.com/p/Global-Books-100069724814332/,t,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=371
2303,Libros Auroch Suc. Centro,"Auroch Publisching, S.A. de C.V.",Ciudad de México,Cuauhtémoc,http://www.auroch.mx,f,named_bookstore_candidate_review,positive_bookstore:libros ,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2303
1642,Librería del Centro,"Librería del Centro, S.A. de C.V.",Ciudad de México,Cuauhtémoc,,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1642
2283,Librería Vesalius,"Vesalius, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://www.libreriavesalius.com/,t,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2283
2344,Librería Fray Juan de Zumárraga,Particular,Ciudad de México,Cuauhtémoc,https://www.facebook.com/Librer%C3%ADas-Fray-Juan-de-Zum%C3%A1rraga-AR-y-Nueva-SECAM-205184019632098/,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2344
